color_name,product_name,HSV,product_url
[2024 어워즈]205 유스티티아 기획,[2024어워즈 한정기획] 딘토 블러글로이 립 틴트 30 colors (단품/기획),"(16, 5, 28)",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000201123&dispCatNo=100000100020006&trackingCd=Cat100000100020006_MID&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EB%A6%BD%EB%A9%94%EC%9D%B4%ED%81%AC%EC%97%85_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=1
[12월 올영픽]219 아베 마리아 기획,[2024어워즈 한정기획] 딘토 블러글로이 립 틴트 30 colors (단품/기획),"(83, 11, 25)",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000201123&dispCatNo=100000100020006&trackingCd=Cat100000100020006_MID&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EB%A6%BD%EB%A9%94%EC%9D%B4%ED%81%AC%EC%97%85_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=1
NEW 221 테메트 노스케,[2024어워즈 한정기획] 딘토 블러글로이 립 틴트 30 colors (단품/기획),"(96, 40, 276)",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000201123&dispCatNo=100000100020006&trackingCd=Cat100000100020006_MID&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EB%A6%BD%EB%A9%94%EC%9D%B4%ED%81%AC%EC%97%85_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=1
NEW 222 피아트 룩스,[2024어워즈 한정기획] 딘토 블러글로이 립 틴트 30 colors (단품/기획),"(95, 87, 231)",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000201123&dispCatNo=100000100020006&trackingCd=Cat100000100020006_MID&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EB%A6%BD%EB%A9%94%EC%9D%B4%ED%81%AC%EC%97%85_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=1
NEW 223 아모르 파티,[2024어워즈 한정기획] 딘토 블러글로이 립 틴트 30 colors (단품/기획),"(96, 82, 288)",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000201123&dispCatNo=100000100020006&trackingCd=Cat100000100020006_MID&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EB%A6%BD%EB%A9%94%EC%9D%B4%ED%81%AC%EC%97%85_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=1
NEW 224 수이 파마,[2024어워즈 한정기획] 딘토 블러글로이 립 틴트 30 colors (단품/기획),"(96, 82, 288)",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000201123&dispCatNo=100000100020006&trackingCd=Cat100000100020006_MID&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EB%A6%BD%EB%A9%94%EC%9D%B4%ED%81%AC%EC%97%85_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=1
NEW 225 파시오,[2024어워즈 한정기획] 딘토 블러글로이 립 틴트 30 colors (단품/기획),"(95, 90, 288)",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000201123&dispCatNo=100000100020006&trackingCd=Cat100000100020006_MID&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EB%A6%BD%EB%A9%94%EC%9D%B4%ED%81%AC%EC%97%85_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=1
NEW 226 데보티오,[2024어워즈 한정기획] 딘토 블러글로이 립 틴트 30 colors (단품/기획),"(99, 76, 265)",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000201123&dispCatNo=100000100020006&trackingCd=Cat100000100020006_MID&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EB%A6%BD%EB%A9%94%EC%9D%B4%ED%81%AC%EC%97%85_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=1
NEW 227 데코럼,[2024어워즈 한정기획] 딘토 블러글로이 립 틴트 30 colors (단품/기획),"(2, 63, 231)",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000201123&dispCatNo=100000100020006&trackingCd=Cat100000100020006_MID&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EB%A6%BD%EB%A9%94%EC%9D%B4%ED%81%AC%EC%97%85_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=1
NEW 228 스페스,[2024어워즈 한정기획] 딘토 블러글로이 립 틴트 30 colors (단품/기획),"(96, 84, 254)",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000201123&dispCatNo=100000100020006&trackingCd=Cat100000100020006_MID&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EB%A6%BD%EB%A9%94%EC%9D%B4%ED%81%AC%EC%97%85_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=1
NEW 229 디그니타스,[2024어워즈 한정기획] 딘토 블러글로이 립 틴트 30 colors (단품/기획),"(97, 47, 288)",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000201123&dispCatNo=100000100020006&trackingCd=Cat100000100020006_MID&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EB%A6%BD%EB%A9%94%EC%9D%B4%ED%81%AC%EC%97%85_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=1
